Saturday,05,November,2022,23:14:53:40973,VCDS Version: Release 12.12.0,Data version: 20130910
8D0 907 401 B,, 2.5l/4VT EDC G01SG  D41 ,

,Group A:,'011,,,,Group B:, Not Running,,,,Group C:, Not Running
,,Engine speed,Spec. intake press.,Actual intake press,N75 duty cycle,,,,,,,,,,
,TIME,2900-4000,1900-2300 mbar,1900-2300 mbar,,TIME,,,,,TIME,,,,
Marker,STAMP, /min, mbar, mbar, %,STAMP,,,,,STAMP,,,,
,0.02,742,999.6,999.6,67.5,,,,,,,,,,
,0.36,742,999.6,1009.8,67.5,,,,,,,,,,
,0.72,742,999.6,999.6,67.9,,,,,,,,,,
,1.08,742,999.6,999.6,67.5,,,,,,,,,,
,1.42,789,1071.0,999.6,76.1,,,,,,,,,,
,1.78,1369,1111.8,989.4,76.5,,,,,,,,,,
,2.14,1137,1060.8,1030.2,69.4,,,,,,,,,,
,2.50,951,1030.2,1030.2,72.6,,,,,,,,,,
,2.86,742,1203.6,1040.4,77.3,,,,,,,,,,
,3.22,812,1050.6,1040.4,76.1,,,,,,,,,,
,3.62,905,1009.8,1040.4,67.1,,,,,,,,,,
,3.98,928,1009.8,1050.6,68.3,,,,,,,,,,
,4.33,905,1020.0,1040.4,67.1,,,,,,,,,,
,4.67,882,1009.8,1040.4,67.1,,,,,,,,,,
,5.03,905,1009.8,1030.2,67.1,,,,,,,,,,
,5.39,882,1020.0,1020.0,67.1,,,,,,,,,,
,5.75,882,1020.0,1020.0,71.0,,,,,,,,,,
,6.12,835,1071.0,1020.0,76.1,,,,,,,,,,
,6.48,835,1122.0,1020.0,76.1,,,,,,,,,,
,6.83,905,1111.8,1030.2,76.1,,,,,,,,,,
,7.17,974,1040.4,1030.2,76.1,,,,,,,,,,
,7.53,1021,1020.0,1040.4,67.5,,,,,,,,,,
,7.89,1090,1040.4,1030.2,71.8,,,,,,,,,,
,8.25,1160,1030.2,1030.2,67.9,,,,,,,,,,
,8.59,1230,1030.2,1040.4,66.3,,,,,,,,,,
,8.95,1276,1030.2,1040.4,65.9,,,,,,,,,,
,9.32,1322,1040.4,1030.2,65.5,,,,,,,,,,
,9.67,1392,1060.8,1040.4,60.0,,,,,,,,,,
,10.04,1462,1071.0,1030.2,59.2,,,,,,,,,,
,10.39,1578,1091.4,1040.4,61.5,,,,,,,,,,
,10.75,1670,1101.6,1040.4,63.5,,,,,,,,,,
,11.09,1740,1111.8,1040.4,62.3,,,,,,,,,,
,11.47,1763,1111.8,1040.4,61.9,,,,,,,,,,
,11.83,1786,1111.8,1050.6,62.3,,,,,,,,,,
,12.20,1810,1122.0,1050.6,58.4,,,,,,,,,,
,12.57,1856,1122.0,1050.6,56.8,,,,,,,,,,
,12.92,1856,1071.0,1030.2,45.0,,,,,,,,,,
,13.26,1462,1071.0,1040.4,45.0,,,,,,,,,,
,13.61,1114,1020.0,1040.4,71.0,,,,,,,,,,
,13.96,1021,1009.8,1040.4,67.5,,,,,,,,,,
