Saturday,05,November,2022,16:20:44
038 906 018 FD,,1.9l R4 EDC 0100SG  2137,

,Group A:,'014,,,,Group B:,'011,,,,Group C:,'003
,, , , , ,,Engine speed,Specified MAP,Actual MAP,Duty cycle,,Engine speed,MAF (specified),MAF (actual),EGR duty cycle
,TIME,,,,,TIME,,?,?,Regulator valve?,TIME,861-945,240-340,240-340,4-84
Marker,STAMP,,,,,STAMP, /min, mbar, mbar, %,STAMP, /min, mg/str, mg/str, %
,0.41,  ,  ,  ,  ,0.81,1092,1540.2,1111.8,24.7,0.01,1050,370.0,455.0,79.7
,1.62,  ,  ,  ,  ,2.05,1302,1611.6,1315.8,24.7,1.22,1155,850.0,535.0,4.8
,2.86,  ,  ,  ,  ,3.26,1575,1774.8,1876.8,55.0,2.45,1365,850.0,715.0,4.8
,4.06,  ,  ,  ,  ,4.45,1932,1948.2,2009.4,61.0,3.65,1701,850.0,865.0,4.8
,5.26,  ,  ,  ,  ,5.65,2268,1948.2,1968.6,63.8,4.86,2037,850.0,960.0,4.8
,6.48,  ,  ,  ,  ,6.87,2583,1948.2,1897.2,63.0,6.06,2373,850.0,805.0,4.8
,7.70,  ,  ,  ,  ,8.11,2919,1948.2,1978.8,64.9,7.29,2709,850.0,810.0,4.8
,8.90,  ,  ,  ,  ,9.29,3213,1948.2,1989.0,68.1,8.50,3003,850.0,815.0,4.8
,10.10,  ,  ,  ,  ,10.53,3486,1948.2,1948.2,69.3,9.70,3297,850.0,765.0,4.8
,11.35,  ,  ,  ,  ,11.76,3738,1948.2,1968.6,71.3,10.93,3570,850.0,745.0,4.8
,12.57,  ,  ,  ,  ,12.98,3969,1948.2,1989.0,74.5,12.17,3822,850.0,730.0,4.8
,13.80,  ,  ,  ,  ,14.20,4200,1876.8,2009.4,80.1,13.40,4053,850.0,720.0,4.8
,15.02,  ,  ,  ,  ,15.41,4368,1795.2,1836.0,81.7,14.62,4263,850.0,675.0,4.8
,16.23,  ,  ,  ,  ,16.65,4494,1734.0,1693.2,78.9,15.82,4410,850.0,605.0,4.8
,17.46,  ,  ,  ,  ,17.87,4557,1683.0,1519.8,70.5,17.05,4515,850.0,545.0,4.8
,18.69,  ,  ,  ,  ,19.10,4473,1040.4,1203.6,59.8,18.27,4578,850.0,485.0,4.8
,19.91,  ,  ,  ,  ,20.32,4095,1162.8,1142.4,52.2,19.52,4368,850.0,340.0,4.8
