Sunday,06,November,2022,18:06:28
1ML 906 032    ,,1.8l R4/5VT     G   0001,

,Group A:,'031,,,,Group B:,'001,,,,Group C:, Not Running
,,Lambda Factor,Lambda Factor,Bin. Bits,Bin. Bits,,RPM,Temperature,Lambda,Bin. Bits,,,,,
,TIME,,,,,TIME,,,,,TIME,,,,
MARKER,STAMP,,,,,STAMP, /min,°C,%,,STAMP,,,,
,0.40,1.991,1.047,        ,        ,0.02,1960,87.0,0.0,11010111,,,,,
,1.21,0.836,0.914,        ,        ,0.81,1960,87.0,0.0,11000011,,,,,
,2.12,0.828,0.836,        ,        ,1.63,2040,87.0,1.6,11001001,,,,,
,2.92,0.813,0.821,        ,        ,2.52,2200,87.0,-1.6,11001001,,,,,
,3.83,0.828,0.821,        ,        ,3.33,2440,87.0,-1.6,11001001,,,,,
,4.64,0.813,0.821,        ,        ,4.23,2760,87.0,-3.9,11001001,,,,,
,5.44,0.813,0.821,        ,        ,5.04,3080,87.0,-6.3,11001001,,,,,
,6.24,0.828,0.821,        ,        ,5.82,3400,87.0,-6.3,11001001,,,,,
,7.05,0.828,0.821,        ,        ,6.65,3760,87.0,-0.8,11001001,,,,,
,7.95,0.813,0.821,        ,        ,7.55,4120,87.0,13.3,11001001,,,,,
,8.76,0.813,0.821,        ,        ,8.36,4440,87.0,17.2,11001001,,,,,
,9.56,0.821,0.821,        ,        ,9.16,4760,87.0,18.0,11001001,,,,,
,10.37,0.844,0.821,        ,        ,9.96,5080,88.0,19.5,11001001,,,,,
,11.17,0.844,0.821,        ,        ,10.77,5360,88.0,20.3,11001001,,,,,
,11.97,0.867,0.821,        ,        ,11.57,5640,88.0,20.3,11001001,,,,,
,12.78,0.860,0.821,        ,        ,12.38,5880,88.0,20.3,11001001,,,,,
,13.58,0.860,0.821,        ,        ,13.18,6120,88.0,20.3,11001001,,,,,
,14.40,0.867,0.821,        ,        ,13.98,6360,88.0,20.3,11001001,,,,,
,15.19,0.852,0.821,        ,        ,14.80,6520,88.0,20.3,11001001,,,,,
,16.01,0.875,0.914,        ,        ,15.59,6440,88.0,11.7,11010001,,,,,
,16.81,1.000,0.945,        ,        ,16.41,6480,88.0,21.1,11010001,,,,,
