Monday,07,November,2022,15:56:23:00009-VCID:6ED37BBF7A970CFDA1-515A,VCDS Version: Release 22.9.0,Data version: 20220830 DS341.0
8E0 907 557 ,,2.0L R4/5VS         0006,

,Group A:,'134,,,,Group B:, Not Running,,,,Group C:, Not Running
,,Oil Temperature,Ambient,Intake Air,Engine Outlet,,,,,,,,,,
,TIME,,Temperature,Temperature (G42),Temperature,TIME,,,,,TIME,,,,
Marker,STAMP,°C,°C,°C,°C,STAMP,,,,,STAMP,,,,
,0.09,7.0,8.5,12.0,7.0,,,,,,,,,,
,0.27,7.0,8.5,12.0,7.0,,,,,,,,,,
,0.45,7.0,8.5,12.0,7.0,,,,,,,,,,
,0.62,7.0,8.5,12.0,7.0,,,,,,,,,,
,0.79,7.0,8.5,12.0,7.0,,,,,,,,,,
,0.96,7.0,8.5,12.0,7.0,,,,,,,,,,
,1.14,6.0,8.5,12.0,9.0,,,,,,,,,,
,1.32,6.0,8.5,12.0,9.0,,,,,,,,,,
,1.51,6.0,8.5,12.0,9.0,,,,,,,,,,
,1.70,6.0,8.5,12.0,7.0,,,,,,,,,,
,1.88,6.0,8.5,12.0,7.0,,,,,,,,,,
,2.06,7.0,8.5,12.0,7.0,,,,,,,,,,
,2.24,7.0,8.5,12.0,7.0,,,,,,,,,,
,2.43,6.0,8.5,12.0,7.0,,,,,,,,,,
,2.62,6.0,8.5,12.0,7.0,,,,,,,,,,
,2.79,7.0,8.5,12.0,7.0,,,,,,,,,,
,2.97,7.0,8.5,12.0,7.0,,,,,,,,,,
,3.14,7.0,8.5,12.0,7.0,,,,,,,,,,
,3.31,7.0,8.5,12.0,7.0,,,,,,,,,,
,3.48,7.0,8.5,12.0,7.0,,,,,,,,,,
,3.66,7.0,8.5,12.0,7.0,,,,,,,,,,
,3.82,7.0,8.5,12.0,7.0,,,,,,,,,,
,3.99,6.0,8.5,12.0,7.0,,,,,,,,,,
,4.17,6.0,8.5,12.0,7.0,,,,,,,,,,
,4.34,6.0,8.5,12.0,7.0,,,,,,,,,,
,4.52,6.0,8.5,12.0,7.0,,,,,,,,,,
,4.69,6.0,8.5,12.0,7.0,,,,,,,,,,
,4.85,6.0,8.5,12.0,7.0,,,,,,,,,,
,5.02,6.0,8.5,12.0,7.0,,,,,,,,,,
,5.22,7.0,8.5,12.0,7.0,,,,,,,,,,
,5.38,7.0,8.5,12.0,7.0,,,,,,,,,,
,5.57,7.0,8.5,12.0,7.0,,,,,,,,,,
,5.72,7.0,8.5,12.0,7.0,,,,,,,,,,
,5.89,7.0,8.5,12.0,7.0,,,,,,,,,,
,6.07,7.0,8.5,12.0,7.0,,,,,,,,,,
,6.24,7.0,8.5,12.0,7.0,,,,,,,,,,
,6.42,6.0,8.5,12.0,7.0,,,,,,,,,,
,6.62,6.0,8.5,12.0,7.0,,,,,,,,,,
,6.81,7.0,8.5,12.0,7.0,,,,,,,,,,
,6.99,7.0,8.5,12.0,7.0,,,,,,,,,,
,7.15,7.0,8.5,12.0,7.0,,,,,,,,,,
,7.33,7.0,8.5,12.0,7.0,,,,,,,,,,
,7.52,7.0,8.5,12.0,7.0,,,,,,,,,,
,7.68,6.0,8.5,12.0,7.0,,,,,,,,,,
,7.86,6.0,8.5,12.0,7.0,,,,,,,,,,
,8.04,7.0,8.5,12.0,7.0,,,,,,,,,,
,8.22,7.0,8.5,12.0,7.0,,,,,,,,,,
,8.39,7.0,8.5,12.0,7.0,,,,,,,,,,
,8.56,7.0,8.5,12.0,7.0,,,,,,,,,,
,8.73,7.0,8.5,12.0,7.0,,,,,,,,,,
,8.89,7.0,8.5,12.0,7.0,,,,,,,,,,
,9.06,7.0,8.5,12.0,7.0,,,,,,,,,,
,9.23,7.0,8.5,12.0,7.0,,,,,,,,,,
,9.40,7.0,8.5,12.0,7.0,,,,,,,,,,
,9.59,7.0,8.5,12.0,7.0,,,,,,,,,,
,9.77,7.0,8.5,12.0,7.0,,,,,,,,,,
,9.96,7.0,8.5,12.0,7.0,,,,,,,,,,
,10.14,6.0,8.5,12.0,7.0,,,,,,,,,,
,10.31,6.0,8.5,12.0,7.0,,,,,,,,,,
,10.48,6.0,8.5,12.0,7.0,,,,,,,,,,
,10.65,6.0,8.5,12.0,7.0,,,,,,,,,,
,10.82,7.0,8.5,12.0,7.0,,,,,,,,,,
,10.99,7.0,8.5,12.0,7.0,,,,,,,,,,
,11.16,7.0,8.5,12.0,7.0,,,,,,,,,,
,11.34,6.0,8.5,12.0,7.0,,,,,,,,,,
,11.52,6.0,8.5,12.0,7.0,,,,,,,,,,
,11.68,6.0,8.5,12.0,7.0,,,,,,,,,,
,11.86,6.0,8.5,12.0,7.0,,,,,,,,,,
,12.03,6.0,8.5,12.0,7.0,,,,,,,,,,
,12.20,6.0,8.5,12.0,7.0,,,,,,,,,,
,12.38,6.0,8.5,12.0,7.0,,,,,,,,,,
,12.54,7.0,8.5,12.0,7.0,,,,,,,,,,
,12.72,7.0,8.5,12.0,7.0,,,,,,,,,,
,12.89,7.0,8.5,12.0,7.0,,,,,,,,,,
